Product Analyst - Data,$59K-$85K (Glassdoor est.),2.7,"William Hill US
2.7","Jersey City, NJ","London, United Kingdom",10000+ employees,Gambling,"Arts, Entertainment & Recreation",$2 to $5 billion (USD)
Senior Data Analyst,$59K-$85K (Glassdoor est.),4.1,"Rockstar Games
4.1","New York, NY","New York, NY",1001 to 5000 employees,Video Games,Media,$10 to $25 million (USD)
Data Analyst,$59K-$85K (Glassdoor est.),4.4,"ZDAAS
4.4","Brooklyn, NY","Baltimore, MD",1 to 50 employees,-1,-1,$1 to $5 million (USD)
Market Research Data Analyst - Physician Technology,$59K-$85K (Glassdoor est.),3.1,"Decision Resources Group
3.1","New York, NY","Burlington, MA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Data Analyst,$59K-$85K (Glassdoor est.),3,"Highbridge Consulting LLC
3.0","New York, NY","Pleasantville, NY",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Look ML Data Analyst,$59K-$85K (Glassdoor est.),2.9,"NTT DATA, Inc.
2.9","New York, NY","Singapore, Singapore",201 to 500 employees,Accounting,Accounting & Legal,Unknown / Non-Applicable
Data Collection Analyst,$59K-$85K (Glassdoor est.),3.9,"Columbia University
3.9","New York, NY","New York, NY",10000+ employees,Colleges & Universities,Education,$2 to $5 billion (USD)
Data Analyst,$59K-$85K (Glassdoor est.),4.2,"Precision technologies corp
4.2","New York, NY","New Brunswick, NJ",201 to 500 employees,IT Services,Information Technology,$10 to $25 million (USD)
DATA ENTRY/ BILLING ANALYST,$59K-$85K (Glassdoor est.),3.9,"Cactus Holdings
3.9","Queens Village, NY","Mumbai, India",1001 to 5000 employees,Research & Development,Business Services,Unknown / Non-Applicable
Student Persistence Initiative Data Analyst/Scientist,$59K-$85K (Glassdoor est.),4.2,"Cuny Research Foundation
4.2","New York, NY","New York, NY",10000+ employees,Colleges & Universities,Education,$100 to $500 million (USD)
Data Quality Analyst,$59K-$85K (Glassdoor est.),-1,SGA Inc.,"New York, NY","Bethesda, MD",1 to 50 employees,Architectural & Engineering Services,Business Services,$1 to $5 million (USD)
Data Governance Analyst,$59K-$85K (Glassdoor est.),5,"Crossfire Consulting Corporation
5.0","New York, NY","Yorktown Heights, NY",51 to 200 employees,Consulting,Business Services,$5 to $10 million (USD)
Sr. Business Intelligence Engineer / Data Analyst,$59K-$85K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY","Seattle, WA",10000+ employees,Internet,Information Technology,$10+ billion (USD)
